symbol;codepoint;width;height;mass_q1;mass_q2;mass_q3;mass_q4;specific_q1;specific_q2;specific_q3;specific_q4;cx;cy;cx_norm;cy_norm;ix;iy;ix_norm;iy_norm
Α;u0391;37;34;43;75;84;123;0.140523;0.232198;0.274510;0.380805;18.981538;19.867692;0.527265;0.602051;27875.310769;21503.889231;0.07419566;0.04833149
Β;u0392;31;34;111;114;111;131;0.435294;0.419118;0.435294;0.481618;15.937901;16.807281;0.531263;0.509312;51012.655246;36081.199143;0.09449378;0.08039716
Γ;u0393;28;34;103;45;103;1;0.432773;0.189076;0.432773;0.004202;9.734127;13.936508;0.360523;0.422318;33904.984127;10869.186508;0.11638719;0.05501491
Δ;u0394;31;34;39;79;85;125;0.152941;0.290441;0.333333;0.459559;16.231707;20.774390;0.541057;0.629527;31847.304878;18326.390244;0.08399260;0.05814063
Ε;u0395;30;34;113;66;104;58;0.443137;0.258824;0.407843;0.227451;12.715543;16.697947;0.438467;0.505998;44085.888563;19987.407625;0.11183748;0.06512678
Ζ;u0396;30;34;44;117;119;53;0.172549;0.458824;0.466667;0.207843;14.933934;16.960961;0.514963;0.513969;47444.492492;19158.546547;0.12324909;0.06392575
Η;u0397;36;34;111;123;110;123;0.362745;0.401961;0.359477;0.401961;17.777302;16.466809;0.507923;0.498994;52076.235546;49244.839400;0.09646391;0.08136523
Θ;u0398;34;34;127;127;129;124;0.439446;0.439446;0.446367;0.429066;16.345168;16.392505;0.495308;0.496743;39826.891519;55412.595661;0.06795331;0.09454590
Ι;u0399;15;34;42;60;42;60;0.352941;0.441176;0.352941;0.441176;7.029412;16.500000;0.502101;0.500000;24935.000000;1033.823529;0.10573563;0.02252339
Κ;u039A;37;34;133;58;138;108;0.434641;0.179567;0.450980;0.334365;14.572082;17.725400;0.404780;0.537133;52211.048055;31984.979405;0.10335301;0.05346397
Λ;u039B;37;34;44;75;67;114;0.143791;0.232198;0.218954;0.352941;19.343333;19.620000;0.537315;0.594545;27530.680000;20337.636667;0.07938489;0.04951945
Μ;u039C;44;34;146;149;147;151;0.390374;0.398396;0.393048;0.403743;22.421585;16.652614;0.521432;0.504625;57374.438449;99946.603710;0.08369623;0.08705786
Ν;u039D;38;34;138;79;65;121;0.427245;0.244582;0.201238;0.374613;18.843672;15.471464;0.509288;0.468832;37874.421836;40065.151365;0.08129861;0.06884851
Ξ;u039E;30;34;106;105;114;114;0.415686;0.411765;0.447059;0.447059;14.471526;16.947608;0.499018;0.513564;65569.794989;31227.394077;0.12920564;0.07903668
Ο;u039F;34;34;102;106;102;100;0.352941;0.366782;0.352941;0.346021;16.368293;16.360976;0.496009;0.495787;39022.575610;53293.387805;0.08233306;0.11244280
Π;u03A0;36;34;111;124;104;116;0.362745;0.405229;0.339869;0.379085;17.850549;15.973626;0.510016;0.484049;56473.683516;49101.837363;0.10736850;0.08326862
Ρ;u03A1;26;34;103;111;107;18;0.466063;0.502262;0.484163;0.081448;11.905605;13.716814;0.476224;0.415661;33576.814159;16088.979351;0.08568049;0.07020727
Σ;u03A3;28;34;120;62;100;85;0.504202;0.260504;0.420168;0.357143;12.765668;17.310627;0.472803;0.524564;57120.588556;18981.847411;0.13463835;0.06597150
Τ;u03A4;30;34;96;97;58;56;0.376471;0.380392;0.227451;0.219608;14.508143;12.840391;0.500281;0.389103;38139.179153;10938.729642;0.10746700;0.03959005
Υ;u03A5;37;34;121;74;46;62;0.395425;0.229102;0.150327;0.191950;17.052805;13.458746;0.473689;0.407841;33573.234323;16243.155116;0.09585013;0.03915834
Φ;u03A6;34;34;130;129;130;128;0.449827;0.446367;0.449827;0.442907;16.411992;16.485493;0.497333;0.499560;41841.141199;41745.245648;0.07000920;0.06984875
Χ;u03A7;37;34;111;79;73;125;0.362745;0.244582;0.238562;0.386997;18.443299;16.618557;0.512314;0.503593;49633.546392;26895.752577;0.11065875;0.05063473
Ψ;u03A8;38;34;150;152;78;80;0.464396;0.470588;0.241486;0.247678;18.671739;13.258696;0.504642;0.401779;39492.215217;37983.432609;0.07426699;0.05718330
Ω;u03A9;36;34;109;113;146;136;0.356209;0.369281;0.477124;0.444444;17.650794;18.398810;0.504308;0.557540;57792.839286;66622.539683;0.09919406;0.10199659
