1: [('Σ', 1.000000), ('Ξ', 0.947880), ('Η', 0.943416), ('Π', 0.938738), ('Ι', 0.937827), ('Ε', 0.936068), ('Ω', 0.931998), ('Ζ', 0.930908), ('Μ', 0.928552), ('Ο', 0.921720), ('Κ', 0.920919), ('Χ', 0.914450), ('Β', 0.914307), ('Φ', 0.912351), ('Θ', 0.911782), ('Ν', 0.898700), ('Ρ', 0.893222), ('Ψ', 0.874274), ('Δ', 0.866288), ('Τ', 0.857351), ('Α', 0.854264), ('Λ', 0.844314), ('Υ', 0.839097), ('Γ', 0.836674)]
2: [('Ε', 0.982413), ('Σ', 0.948361), ('Κ', 0.943346), ('Ζ', 0.937284), ('Π', 0.935732), ('Ο', 0.934852), ('Η', 0.934814), ('Χ', 0.932417), ('Ν', 0.924936), ('Ι', 0.919153), ('Μ', 0.915360), ('Ξ', 0.909258), ('Ρ', 0.905929), ('Ω', 0.904448), ('Θ', 0.896615), ('Φ', 0.893191), ('Ψ', 0.890490), ('Β', 0.886714), ('Τ', 0.880016), ('Υ', 0.871086), ('Γ', 0.870945), ('Α', 0.865127), ('Δ', 0.862693), ('Λ', 0.856802)]
3: [('Α', 0.986064), ('Λ', 0.966224), ('Δ', 0.950112), ('Χ', 0.900415), ('Ζ', 0.897169), ('Ν', 0.877621), ('Ο', 0.869721), ('Ε', 0.869502), ('Η', 0.865795), ('Ω', 0.863114), ('Σ', 0.861857), ('Π', 0.861518), ('Μ', 0.861212), ('Κ', 0.861169), ('Ι', 0.854251), ('Ξ', 0.838053), ('Β', 0.835411), ('Υ', 0.830865), ('Θ', 0.830864), ('Φ', 0.829539), ('Ψ', 0.821983), ('Τ', 0.821342), ('Ρ', 0.817818), ('Γ', 0.801035)]
4: [('Γ', 1.000000), ('Υ', 0.893330), ('Ε', 0.881574), ('Κ', 0.870457), ('Τ', 0.870150), ('Ν', 0.856772), ('Ρ', 0.855103), ('Ψ', 0.849652), ('Χ', 0.849048), ('Ζ', 0.840164), ('Ο', 0.839955), ('Σ', 0.836674), ('Π', 0.835983), ('Η', 0.829337), ('Ι', 0.824110), ('Μ', 0.814160), ('Ξ', 0.809056), ('Θ', 0.806117), ('Φ', 0.802760), ('Α', 0.800678), ('Λ', 0.799356), ('Ω', 0.799250), ('Β', 0.791183), ('Δ', 0.780871)]
5: [('Α', 0.986064), ('Λ', 0.966224), ('Δ', 0.950112), ('Χ', 0.900415), ('Ζ', 0.897169), ('Ν', 0.877621), ('Ο', 0.869721), ('Ε', 0.869502), ('Η', 0.865795), ('Ω', 0.863114), ('Σ', 0.861857), ('Π', 0.861518), ('Μ', 0.861212), ('Κ', 0.861169), ('Ι', 0.854251), ('Ξ', 0.838053), ('Β', 0.835411), ('Υ', 0.830865), ('Θ', 0.830864), ('Φ', 0.829539), ('Ψ', 0.821983), ('Τ', 0.821342), ('Ρ', 0.817818), ('Γ', 0.801035)]
6: [('Π', 1.000000), ('Η', 0.979309), ('Μ', 0.959996), ('Ο', 0.956153), ('Ζ', 0.943436), ('Σ', 0.938738), ('Ν', 0.935860), ('Ι', 0.935151), ('Ξ', 0.934406), ('Χ', 0.931130), ('Β', 0.926177), ('Θ', 0.925249), ('Ρ', 0.924875), ('Ε', 0.921036), ('Ω', 0.920527), ('Φ', 0.919438), ('Ψ', 0.914149), ('Κ', 0.889635), ('Τ', 0.887640), ('Υ', 0.860381), ('Δ', 0.858941), ('Α', 0.853634), ('Λ', 0.846991), ('Γ', 0.835983)]
7: [('Ω', 1.000000), ('Ξ', 0.942393), ('Μ', 0.941986), ('Β', 0.936995), ('Η', 0.935286), ('Σ', 0.931998), ('Θ', 0.930795), ('Φ', 0.925109), ('Π', 0.920527), ('Ο', 0.920127), ('Ι', 0.909868), ('Ζ', 0.903855), ('Ε', 0.892494), ('Χ', 0.886406), ('Κ', 0.885134), ('Δ', 0.879417), ('Ν', 0.878072), ('Ρ', 0.868535), ('Α', 0.853314), ('Ψ', 0.852373), ('Λ', 0.841204), ('Τ', 0.825598), ('Υ', 0.807930), ('Γ', 0.799250)]
8: [('Π', 1.000000), ('Η', 0.979309), ('Μ', 0.959996), ('Ο', 0.956153), ('Ζ', 0.943436), ('Σ', 0.938738), ('Ν', 0.935860), ('Ι', 0.935151), ('Ξ', 0.934406), ('Χ', 0.931130), ('Β', 0.926177), ('Θ', 0.925249), ('Ρ', 0.924875), ('Ε', 0.921036), ('Ω', 0.920527), ('Φ', 0.919438), ('Ψ', 0.914149), ('Κ', 0.889635), ('Τ', 0.887640), ('Υ', 0.860381), ('Δ', 0.858941), ('Α', 0.853634), ('Λ', 0.846991), ('Γ', 0.835983)]
9: [('Α', 0.986064), ('Λ', 0.966224), ('Δ', 0.950112), ('Χ', 0.900415), ('Ζ', 0.897169), ('Ν', 0.877621), ('Ο', 0.869721), ('Ε', 0.869502), ('Η', 0.865795), ('Ω', 0.863114), ('Σ', 0.861857), ('Π', 0.861518), ('Μ', 0.861212), ('Κ', 0.861169), ('Ι', 0.854251), ('Ξ', 0.838053), ('Β', 0.835411), ('Υ', 0.830865), ('Θ', 0.830864), ('Φ', 0.829539), ('Ψ', 0.821983), ('Τ', 0.821342), ('Ρ', 0.817818), ('Γ', 0.801035)]
10: [('Π', 0.963879), ('Ο', 0.958654), ('Η', 0.957770), ('Ν', 0.952177), ('Μ', 0.950921), ('Ζ', 0.934194), ('Χ', 0.930596), ('Ψ', 0.923939), ('Ρ', 0.922299), ('Ι', 0.916505), ('Θ', 0.915220), ('Β', 0.911918), ('Σ', 0.910256), ('Φ', 0.907433), ('Ξ', 0.907181), ('Ε', 0.906997), ('Ω', 0.904675), ('Τ', 0.894070), ('Κ', 0.875390), ('Υ', 0.868757), ('Δ', 0.858712), ('Α', 0.858477), ('Λ', 0.853283), ('Γ', 0.832537)]
11: [('Τ', 1.000000), ('Ψ', 0.936338), ('Υ', 0.935156), ('Ν', 0.917439), ('Ρ', 0.911176), ('Χ', 0.896112), ('Π', 0.887640), ('Ζ', 0.883765), ('Ε', 0.878111), ('Ο', 0.875501), ('Η', 0.874781), ('Γ', 0.870150), ('Ι', 0.869816), ('Μ', 0.861805), ('Σ', 0.857351), ('Κ', 0.845491), ('Ξ', 0.843799), ('Θ', 0.842161), ('Φ', 0.840675), ('Β', 0.837886), ('Ω', 0.825598), ('Λ', 0.819714), ('Α', 0.818644), ('Δ', 0.802634)]
