1: [('Σ', 0.991954), ('Ξ', 0.945512), ('Η', 0.940537), ('Ω', 0.934997), ('Ι', 0.934894), ('Π', 0.934625), ('Ε', 0.934410), ('Ζ', 0.930341), ('Μ', 0.926833), ('Κ', 0.921932), ('Ο', 0.919850), ('Χ', 0.913458), ('Β', 0.912851), ('Φ', 0.910280), ('Θ', 0.909652), ('Ν', 0.896071), ('Ρ', 0.887589), ('Δ', 0.870886), ('Ψ', 0.869360), ('Α', 0.857522), ('Τ', 0.852913), ('Λ', 0.847081), ('Υ', 0.836116), ('Γ', 0.833965)]
2: [('Ε', 0.989339), ('Κ', 0.959616), ('Σ', 0.932311), ('Ο', 0.919997), ('Ζ', 0.919663), ('Χ', 0.918171), ('Π', 0.914998), ('Η', 0.914895), ('Ν', 0.912044), ('Ι', 0.902728), ('Μ', 0.897321), ('Ρ', 0.894930), ('Ξ', 0.893026), ('Ω', 0.891278), ('Θ', 0.883519), ('Γ', 0.882705), ('Φ', 0.879965), ('Ψ', 0.879017), ('Τ', 0.872035), ('Β', 0.870318), ('Υ', 0.870101), ('Α', 0.861934), ('Δ', 0.856374), ('Λ', 0.853458)]
3: [('Α', 0.986336), ('Λ', 0.978447), ('Δ', 0.939271), ('Χ', 0.900707), ('Ζ', 0.895586), ('Ν', 0.878667), ('Ο', 0.866549), ('Ε', 0.865376), ('Η', 0.861758), ('Π', 0.858749), ('Μ', 0.856794), ('Σ', 0.856013), ('Ω', 0.855582), ('Κ', 0.854675), ('Ι', 0.849798), ('Υ', 0.835129), ('Ξ', 0.832501), ('Β', 0.830305), ('Θ', 0.825468), ('Τ', 0.824064), ('Φ', 0.823937), ('Ψ', 0.822364), ('Ρ', 0.816293), ('Γ', 0.801073)]
4: [('Γ', 0.979899), ('Υ', 0.880214), ('Ε', 0.877487), ('Κ', 0.871692), ('Τ', 0.856864), ('Ν', 0.847582), ('Ρ', 0.846083), ('Χ', 0.841493), ('Ψ', 0.839159), ('Ο', 0.833190), ('Ζ', 0.833062), ('Σ', 0.832411), ('Π', 0.828368), ('Η', 0.822906), ('Ι', 0.818942), ('Μ', 0.808137), ('Ξ', 0.804161), ('Θ', 0.801514), ('Φ', 0.798513), ('Α', 0.797995), ('Λ', 0.796033), ('Ω', 0.795658), ('Β', 0.785928), ('Δ', 0.778518)]
5: [('Α', 0.986336), ('Λ', 0.978447), ('Δ', 0.939271), ('Χ', 0.900707), ('Ζ', 0.895586), ('Ν', 0.878667), ('Ο', 0.866549), ('Ε', 0.865376), ('Η', 0.861758), ('Π', 0.858749), ('Μ', 0.856794), ('Σ', 0.856013), ('Ω', 0.855582), ('Κ', 0.854675), ('Ι', 0.849798), ('Υ', 0.835129), ('Ξ', 0.832501), ('Β', 0.830305), ('Θ', 0.825468), ('Τ', 0.824064), ('Φ', 0.823937), ('Ψ', 0.822364), ('Ρ', 0.816293), ('Γ', 0.801073)]
6: [('Π', 0.982036), ('Η', 0.971285), ('Ο', 0.966995), ('Μ', 0.950891), ('Ζ', 0.949297), ('Ν', 0.942911), ('Σ', 0.939136), ('Χ', 0.937636), ('Ε', 0.931733), ('Ι', 0.925896), ('Ξ', 0.925474), ('Ρ', 0.921331), ('Ω', 0.918548), ('Θ', 0.917836), ('Β', 0.914238), ('Ψ', 0.910835), ('Φ', 0.910174), ('Κ', 0.897732), ('Τ', 0.888810), ('Υ', 0.866700), ('Δ', 0.862724), ('Α', 0.860224), ('Λ', 0.853718), ('Γ', 0.844322)]
7: [('Ω', 0.987989), ('Ξ', 0.934446), ('Μ', 0.934147), ('Σ', 0.929894), ('Η', 0.928803), ('Β', 0.927821), ('Θ', 0.922804), ('Φ', 0.918080), ('Ο', 0.915752), ('Π', 0.914093), ('Ι', 0.905899), ('Ζ', 0.902370), ('Ε', 0.892432), ('Κ', 0.887762), ('Δ', 0.885590), ('Χ', 0.885304), ('Ν', 0.875093), ('Ρ', 0.862370), ('Α', 0.857912), ('Ψ', 0.846733), ('Λ', 0.845075), ('Τ', 0.821504), ('Υ', 0.805925), ('Γ', 0.798464)]
8: [('Π', 0.982036), ('Η', 0.971285), ('Ο', 0.966995), ('Μ', 0.950891), ('Ζ', 0.949297), ('Ν', 0.942911), ('Σ', 0.939136), ('Χ', 0.937636), ('Ε', 0.931733), ('Ι', 0.925896), ('Ξ', 0.925474), ('Ρ', 0.921331), ('Ω', 0.918548), ('Θ', 0.917836), ('Β', 0.914238), ('Ψ', 0.910835), ('Φ', 0.910174), ('Κ', 0.897732), ('Τ', 0.888810), ('Υ', 0.866700), ('Δ', 0.862724), ('Α', 0.860224), ('Λ', 0.853718), ('Γ', 0.844322)]
9: [('Χ', 0.938658), ('Ζ', 0.934723), ('Ν', 0.927677), ('Α', 0.918164), ('Λ', 0.917714), ('Ο', 0.911853), ('Δ', 0.904678), ('Π', 0.904585), ('Η', 0.903372), ('Μ', 0.897865), ('Ε', 0.886722), ('Σ', 0.880845), ('Ω', 0.880015), ('Ι', 0.877517), ('Ψ', 0.866960), ('Β', 0.864608), ('Τ', 0.863922), ('Ξ', 0.863505), ('Υ', 0.863206), ('Κ', 0.861251), ('Θ', 0.859426), ('Ρ', 0.857735), ('Φ', 0.854653), ('Γ', 0.816976)]
10: [('Τ', 0.983879), ('Υ', 0.946607), ('Ψ', 0.924039), ('Ν', 0.915616), ('Ρ', 0.900194), ('Χ', 0.896102), ('Ζ', 0.882620), ('Π', 0.881727), ('Ε', 0.876216), ('Γ', 0.873323), ('Ο', 0.871666), ('Η', 0.868820), ('Ι', 0.862461), ('Μ', 0.855456), ('Σ', 0.852863), ('Κ', 0.843436), ('Ξ', 0.837200), ('Θ', 0.834399), ('Φ', 0.832434), ('Β', 0.830470), ('Λ', 0.823277), ('Α', 0.821189), ('Ω', 0.820972), ('Δ', 0.802905)]
11: [('Α', 0.986336), ('Λ', 0.978447), ('Δ', 0.939271), ('Χ', 0.900707), ('Ζ', 0.895586), ('Ν', 0.878667), ('Ο', 0.866549), ('Ε', 0.865376), ('Η', 0.861758), ('Π', 0.858749), ('Μ', 0.856794), ('Σ', 0.856013), ('Ω', 0.855582), ('Κ', 0.854675), ('Ι', 0.849798), ('Υ', 0.835129), ('Ξ', 0.832501), ('Β', 0.830305), ('Θ', 0.825468), ('Τ', 0.824064), ('Φ', 0.823937), ('Ψ', 0.822364), ('Ρ', 0.816293), ('Γ', 0.801073)]
